X,Y
600013.797162439,6615537.20985808
600013.793633959,6615537.21533447
600013.794641339,6615537.21981804
600013.780259357,6615537.25174379
600013.763210001,6615537.27802741
600013.749096082,6615537.29993294
600013.624070957,6615538.09655177
600013.722789364,6615539.75816998
600013.718462,6615539.75136928
600013.709893976,6615539.75559669
600013.704172031,6615539.75878608
600013.694715767,6615539.75407648
600013.683954276,6615539.7560169
600013.663706736,6615539.75436108
600013.653597858,6615539.75297649
600013.646364845,6615539.74944053
600013.654783946,6615539.75077991
600013.655704621,6615539.73743467
600013.637352701,6615539.74919943
600013.185514383,6615540.09921231
600013.178370723,6615540.09233627
600014.114519639,6615537.6517545
600014.108779736,6615538.03487037
600014.705737825,6615538.34943401
600015.219962692,6615540.26059733
600014.866531819,6615540.49291388
600014.432911552,6615539.29808054
600014.371914132,6615539.19728889
600013.366202725,6615539.62384514
600013.35725015,6615539.62137733
600013.358344234,6615539.64368971
600011.851495154,6615535.8999265
600011.799125964,6615536.02442509
600011.781957481,6615536.05516216
600011.746648194,6615536.0687016
600011.732504498,6615536.09172049
600011.703507565,6615536.12214113
600011.681833007,6615536.15275765
600011.654615206,6615536.17988341
600011.631370006,6615536.20600129
600011.604715465,6615536.23314212
600011.59445502,6615536.25849321
600011.567889831,6615536.28229397
600011.53767703,6615536.31602454
600011.520508551,6615536.34676161
600011.495099667,6615536.36947915
600011.471973605,6615536.39114359
600011.461239254,6615536.41313954
600011.433726252,6615536.43023001
600011.416706694,6615536.45540029
600011.396989975,6615536.47604178
600011.383379758,6615536.50018911
600011.354176979,6615536.51723437
600011.34394632,6615536.5414721
600011.333003482,6615536.57126156
600011.318326315,6615536.59315203
600011.300418511,6615536.6093853
600011.275870729,6615536.62098432
600011.266262898,6615536.6430104
600011.267002225,6615536.6575142
600011.261161143,6615536.66515703
600011.263530681,6615536.68193274
600011.259468729,6615536.6862807
600011.252975035,6615536.69724854
600011.265009336,6615536.71094034
600011.250156102,6615536.71834208
600011.236459171,6615536.7246606
600011.234441769,6615536.73686234
600011.234143929,6615536.74799593
600011.230731953,6615536.77018776
600011.220116739,6615536.78773027
600011.215223472,6615536.80208338
600011.214627794,6615536.82435055
600011.213707127,6615536.83769579
600011.208992563,6615536.84536876
600011.198970394,6615536.86181298
600011.177891522,6615536.87016233
600011.17643738,6615536.88237914
600011.167690649,6615536.8932867
600011.174506695,6615536.91240968
600011.169109737,6615536.92452101
600011.176992733,6615536.94590085
600011.176131635,6615536.95701936
600011.168866195,6615536.97576564
